usuario;tokens;tiempo
Tomás#9078;[];2021-11-27 12:25:49.399651
Tomás#9078;['mirarle'];2021-11-27 12:25:55.433729
Tomás#9078;['metro'];2021-11-27 12:25:59.164467
Tomás#9078;['metro'];2021-11-27 12:26:03.584389
Tomás#9078;['loco'];2021-11-27 12:26:08.138753
Tomás#9078;['cod', 'knn'];2021-11-27 12:26:11.681249
Tomás#9078;['alfobot', 'profe'];2021-11-27 12:26:18.569498
Tomás#9078;['cod', 'knn'];2021-11-27 12:26:35.263922
Tomás#9078;['alfobot', 'despierta'];2021-11-27 12:26:40.925925
davidmoscoso#5401;['jajajaja', 'descripción', 'parece', 'alfonso', 'carne', 'hueso'];2021-11-27 12:27:36.501871
Tomás#9078;['xd'];2021-11-27 12:27:52.670754
Tomás#9078;['entiendo', 'dice', 'zoom', 'si', 'encnedido', 'modo', 'profe', 'responde'];2021-11-27 12:28:13.718455
Tomás#9078;['hola'];2021-11-27 12:28:33.700893
Tomás#9078;['si'];2021-11-27 12:28:33.809260
Tomás#9078;['hola'];2021-11-27 12:28:39.215508
Tomás#9078;['si'];2021-11-27 12:28:39.331805
Tomás#9078;['papa'];2021-11-27 12:28:51.241393
Tomás#9078;['alfobot', 'despierta'];2021-11-27 12:29:01.625380
Tomás#9078;['cod', 'knn'];2021-11-27 12:29:04.834053
Tomás#9078;['alfobot', 'duerme'];2021-11-27 12:29:36.659946
Tomás#9078;['pollo'];2021-11-27 12:30:09.309594
davidmoscoso#5401;['faltó', 'global'];2021-11-27 12:30:22.456741
Tomás#9078;['aaah'];2021-11-27 12:30:26.424645
davidmoscoso#5401;['mercadona'];2021-11-27 12:32:45.258654
davidmoscoso#5401;['ciclo'];2021-11-27 12:32:47.535494
davidmoscoso#5401;['alfobot', 'duerme'];2021-11-27 12:32:54.272738
Tomás#9078;['pollo'];2021-11-27 12:36:11.968581
Tomás#9078;['metro'];2021-11-27 12:36:16.203099
Tomás#9078;['metro'];2021-11-27 12:36:20.943485
Tomás#9078;['alfobot', 'profe'];2021-11-27 12:36:29.905592
